,Title,Abstract
72,Using Hypervideo to support undergraduate students’ reflection on work practices: a qualitative study,"According to several exploratory studies, the HyperVideo seems to be particularly useful in highlighting the existing connections between the school-based and the work-based contexts, between authentic work situations and theoretical underpinnings. This tool and its features, in particular, the video annotation, seems to constitute an instrument which facilitates the students’ reflection on work-practices. Even though several researchers have already studied the efficacy of HyperVideo, studies concerning the qualitative differences between a reflection process activated with or without its use are still missing. Therefore, the present contribution is focused on the reflective processes activated by two groups of students engaged in a higher education course while they carry out a reflective activity on work practices using the HyperVideo or not. The aim is to investigate wether the HyperVideo can be useful for students to foster the connection between theoretical concepts and work practices. Through multi-step qualitative analysis which combined Thematic Qualitative Text Analysis and Grounded Theory, a sample of reflective reports drafted by a group of students who employed HiperVideo to make a video-interview on a work-practice and to reflect on it (Group A) was compared with a sample of reflective reports drafted by a group who did not use it to complete the same task (Group B). The results emerging from the comparison of the coding frequencies between the two groups show that HyperVideo can support the reflective processes of students, better connecting theory and professional practice."
73,Engaging children with educational content via Gamification,"Gamification is the application of game mechanisms in non-gaming environments with the objective of enhancing user experience. In this paper, we investigate the effectiveness of gamification in educational context, i.e. teaching numeracy at a primary school level. We study the appealing characteristics of engaging computer games from children’s point of view, and investigate whether embedding the proposed characteristics into an educational tool enhances children’s learning. The main characteristics we identify are levels of difficulties, feedback from the current level, and graphical presentation. They were then embedded into a Java-based open source programme based on “ Who wants to be a millionaire ” TV show, with the aim of teaching children numeracy (level 5 New Zealand curriculum). Two versions were created: feature enriched game ( FEG ) with all the features enabled and feature devoid game ( FDG) with no extra features. We present the results of an evaluation study done with primary school children ( n  =  120 ) over a period of two weeks. The effectiveness of the educational tool was measured using a pre-test and a post-test, as well as other indicators such as the frequency and duration of interaction. Results show that the FEG version was more effective in enhancing children’s learning and they found it more engaging."
74,Understanding openness through (in)visible platform boundaries: a topological study on MOOCs as multiplexes of spaces and times,"Among new technologies in education, the Massive Open Online Course (MOOC) is one of the phenomena that received much attention. However, controversy developed around the meaning of the word ‘open’ as integrated in the acronym. Despite the disagreements, studies on MOOCs generally do not formulate clear conceptual or operational descriptions of what openness implies for their research. Without explicating these descriptions, it becomes impossible for HE practitioners and researchers to gain a sense of how the proclaimed open nature of MOOCs is and can be realized in practice. This study aims to respond to this debate and the prevailing ambiguity and confusion around the concept ‘openness’ by examining the relevance of an alternative view. That is, through the lens of social topology, this study considers how openness is enacted in multiple forms that interact. The study further examines whether and how openness is performed through the specific way in which boundaries operate. Based on an empirical case study on a MOOC platform developed and administered by several European universities, the study presents a combination of descriptions, sketches and legends that describe multiple spaces and times of openness in the MOOC platform. The study therewith provides strong arguments for the pertinence of this alternative view, and invites further research on higher education initiatives to examine the various yet specific ways openness can be established."
75,Student views on the use of flipped learning in higher education: A pilot study,"Flipped learning becomes increasingly popular in higher education with the widespread use of the Internet. The traditional methods are deeply teacher-centered and students usually listen to the teacher during the course. This is different in flipped learning and the time spent in the classroom involves rich learning activities. It allowed learners to take a more active role in the class than the traditional methods. However, flipped learning also has many challenges for students. The purpose of this study is to determine the benefits and challenges of flipped learning in higher education. Participants’ views of flipped learning were collected through a questionnaire with open-ended questions. The results indicated that implementing flipped learning gave students a chance to experience greater instructional flexibility during both online and in-class sessions. The students said that they felt more responsible for their own learning. And some of them expressed disappointment with the lack of immediate feedback while watching videos and with their poor Internet accessibility outside of the classroom."
76,A comparison of students’ twitter use in a postsecondary course delivered on campus and online,"Social media’s reach has extended into our personal, professional, and educational lives. Related to the latter, research has examined how technologies, such as Twitter, can be used as communication and evaluation tools in postsecondary settings. No known studies have considered students’ experiences using Twitter in different course delivery formats (e.g., on campus compared to online courses), yet this can inform instructor decision-making on whether Twitter can be more effectively incorporated as an instructional tool in one format over another. This study sets out to examine whether differences existed between students’ perceptions and use of this social media platform as a device for learning and “classroom” connectedness. As students’ perceptions can reveal the effectiveness of pedagogical strategies given their position at the center of the learning process, the present study relied on anonymous, voluntary online survey results from 37 students enrolled in an upper-level Sociology of Deviance course delivered by the same instructor both online and on campus to ascertain students’ use of Twitter and their perceptions of using Twitter in learning, as a course evaluation tool, and in connecting students. Our findings suggest there are interesting differences in the social networking platform’s use between the two course formats. These differences were used to recommend strategies for how instructors can integrate Twitter into their courses, both online and on campus."
77,Drivers to adopting B-flow ultrasonography:contextualizing the integrated technology acceptance model,"Background Ovarian torsion is an unprecedented gynecological crisis that regularly influences ladies of regenerative age. Its signs and indications are like those of other abdominal conditions, which make its differential determination testing. B-flow ultrasonography (B-flow USG), which is utilized for the differential determination of ovarian torsion, is the highest quality level non-intrusive indicative instrument in the early period of an ovarian torsion. The aim of this paper is to investigate and incorporate variety of factors affecting physicians’ actual use of B-flow USG. Methods Drawing from technology acceptance model (TAM), five variables – actual use, behavioral intention to use, attitude toward use, perceived ease of use and perceived usefulness – are integrated with social influence and knowledge to propose a theoretical model. The data was collected from the medical doctors including radiologists, urologists, gynecologists, pediatric surgeons between June and October 2018. The sample size is N  = 512 hence, structural equation modeling (SEM) methodology has been implemented to study the relationship between explanatory factors and actual use of B-flow USG. SmartPLS 3.2.7 software was used for the data analysis and testing of the validity of the eight hypotheses. Results The results indicate that actual use of B-flow USG is positively affected by knowledge, social influence, perceived ease of use, perceived usefulness, attitude toward use and behavioral intention to use. Conclusions It is discovered that perceived usefulness mediates the relationship between perceived ease of use and attitude toward use, and attitude toward use mediates the relationship between perceived usefulness and behavioral intention to use B-flow USG. The implications of the outcomes are discussed, and suggestions for future research are made."
78,Learning analytics and higher education: a proposed model for establishing informed consent mechanisms to promote student privacy and autonomy,"By tracking, aggregating, and analyzing student profiles along with students’ digital and analog behaviors captured in information systems, universities are beginning to open the black box of education using learning analytics technologies. However, the increase in and usage of sensitive and personal student data present unique privacy concerns. I argue that privacy-as-control of personal information is autonomy promoting, and that students should be informed about these information flows and to what ends their institution is using them. Informed consent is one mechanism by which to accomplish these goals, but Big Data practices challenge the efficacy of this strategy. To ensure the usefulness of informed consent, I argue for the development of Platform for Privacy Preferences (P3P) technology and assert that privacy dashboards will enable student control and consent mechanisms, while providing an opportunity for institutions to justify their practices according to existing norms and values."
79,Staff and student views of lecture capture: a qualitative study,"Many universities now use lecture capture. We used focus groups to investigate perceptions of lectures and their capture in staff ( N  = 8) and students ( N  = 17). We found that staff and students held different views of lectures and this impacted on their perceptions of lecture capture. Our findings confirmed a range of previously identified uses of lecture capture and additionally demonstrated its use to model expert behaviour. Furthermore, we report here that students felt lecture capture reduced anxiety, particularly for those with disabilities, indicating that lecture capture may be a useful tool in creating an environment that supports mental wellbeing. Despite this potential value of lecture capture, it was still perceived to have some negative impact on the live lecture; reducing the interaction with students and prevent staff using anecdotes and humour in their teaching, which could reduce the value of the lecture capture."
80,The roles of academic engagement and digital readiness in students’ achievements in university e-learning environments,"University students, who are assumed to be digital natives, are exposed to campus e-learning environments to improve their academic performance at the beginning of their academic careers. However, previous studies of students’ perceptions of e-learning demonstrate a lack of consistent results with respect to the prediction of their academic achievement. The goal of this study was to examine university students’ perceptions of e-learning, based on their experiences, and the mediating roles of academic engagement and digital readiness within the university context of an e-learning environment for academic achievement. A total of 614 undergraduate students enrolled in a Korean university participated in this study. Using a partial least squares model to develop the theory, we examined students engaging in university e-learning environments in relation to their perceptions of e-learning, digital readiness, academic engagement, and academic achievement (i.e., grade point average). The results are significant for the importance of students’ academic engagement and digital readiness as mediators in their perceptions of e-learning predicted by academic achievement. Although students positively perceived e-learning experiences on campus, they must have strong digital skills to perform academic work and commit to effortful involvement in the context of academic learning in university e-learning environments. Our results provide practical implications for ways to enhance effective adoption of e-learning environments by college students, educators, and administrators."
81,Case study of creativity in asynchronous online discussions,"It is vital for online educators to know whether the strategies they use help students gain twenty-first-century skills like creativity. Unfortunately, very little research exists on this topic. Thus, the purpose of this study was to determine whether participation in online courses can help students develop creativity using asynchronous online discussions, textbooks, and teacher developed materials. A case-study approach was used and one professor, recognized by her peers for her expertise in online education, and three of her students were interviewed. Asynchronous online discussions (29) were also collected and analyzed using a sequential process of building an explanation, checking the explanation against the data, and repeating the process. Key results from the study indicated that project-based prompts, problem-based prompts, and heuristics used in asynchronous online discussions can help promote creativity. Future research should explore a more diverse group of participants and academic subject areas."
82,Feelings of satisfaction in mature students of financial accounting in a virtual learning environment: an experience of measurement in higher education,"Currently, the usefulness of ICT (Information and Communication Technologies) in the teaching-learning process has not been discussed; unlike distance learning, these new tools are used via technologies. The current approach to social development, supported by the exercise of innovation, learning and research, is undeniable. Within this framework, student satisfaction regarding blended e-learning has been studied. However, in distance university models, which are supported by virtual platforms, it is necessary to ask ourselves the following question: are students satisfied when they are not in a face-to-face classroom environment? The objective of this study is to analyse students’ perceptions of their satisfaction levels in a virtual learning environment. In this evaluation, the students’ generic skills were also considered, as well as their perception of the learning environment. The findings of the analysis seem to reveal that students have a high perception of satisfaction, considering students’ perception and learning experience as a proxy of the feeling of satisfaction. Students’ perceptions of the virtual learning environment and of their own skill, which also takes on high values, could have some type of effect on their overall satisfaction. A significant finding is that students with a high positive perception of their generic skills are also satisfied with the learning process and with the virtual learning environment. The validity of the three construct designed to measure the latent variables—feelings of satisfaction, acceptance of the virtual learning environment and students’ self-perception on their generic skills—ensures their usefulness as variables of measurement."
83,Automated Function Analysis for Calculus,"When teaching function analysis, as part of college calculus, many of the same calculations repeat themselves, over and over again. These calculations are for proving limits (their existance and values, or perhaps the lack thereof), finding minima and maxima, determining continuity and differentiability at specific points, or for ranges, etc. We also present to our students, the summary of the analyses, in the form of detailed, annotated plots. We present the automation of function analysis, for teaching first-semester college calculus. The relevant Mathematica functions (and their options) are demonstrated, in a step-by-step fashion and discussed at length. The application of these functions, to the calculus material, and the pitfalls that can arise, are discussed. In addition to the automated results for limits, extrema, continuity, differentiability, etc., we also show how plotting can be achieved, including all of the analyses learned."
84,Technological innovations and practices in engineering education: a review,"Nowadays, universities are teaching students whose main distinctive characteristic is the strong relationship they have with information and communication technology (ICT). They are the millennial generation who have a different learning style and who are most effective when doing multisensory activities. Higher education institutions face a big challenge in finding ways to improve the learning experience and academic performance of these and future students. Research has shown that ICTs used for educational purposes can help in meeting this challenge. In this work, a review of the available ICTs that can be applied in the educational field is undertaken. Additionally, selected universities from the QS World University Rankings by Engineering and Technology Subject 2018 are analyzed. The aim is to review the state of the art technology employed by them and to summarize the innovative technological tools, trends and teaching practices of these organizations for successful engineering education. This research work can be seen as a guide to proven and valuable technologies and educational practices useful to improve the teaching–learning processes in engineering education."
85,Exploring the relationship between college students’ writing anxiety and the pedagogical use of online resources,"This study reports on how the use of online resources based on systemic functional linguistics (SFL) impacted college students’ emotional alignment with writing practices. Through qualitative analyses of in-class discussions, students’ interviews and reflections, as well as their written pieces gathered in a Chinese university, the case study shows that the students were able to overcome their fears with writing construction associated with their dearth of effective knowledge, albeit through a zigzag trajectory. More importantly, they could utilize the knowledge imparted through online resources, actively and confidently participating in unpacking written discourse and effectively constructing their own writing. The study concludes the importance of harnessing online resources that are effectively designed and linguistically grounded. It sheds light on the role of SFL as a linguistic technique to alleviate students’ anxieties while offering them knowledge needed for effective written communication."
86,Nutrition and health as virtual class at Open University (Portugal): pedagogical strategies for higher education,"The Open University is the sole distance learning public university in Portugal. The present paper reflects the work that is carried out in a curricular unit that belongs to the scientific field of nutrition and that is integrated in an MSc degree. The work is based on the pedagogical model of the University and on the process of didactic and pedagogical transposition in the planning of the structure and dynamics of the curricular unit. Distance education now uses the new technologies of information and communication and the process of teaching / learning benefits from a pedagogical model specifically designed to be used with a platform adapted to the needs of the University. The objective of the reflection and of the proposed study, as well as the results presented, was to show that the interaction between students and between the lecturer and the students is not only intensive but is also beneficial for the learning process and the successful outcomes."
87,Investigating self-directed learning and technology readiness in blending learning environment,"Blended Learning (BL) creates a ‘rich’ educational environment with multiple technology-enabled communication forms in both face-to-face and online teaching. Students’ characteristics are closely related to the learning effectiveness in the BL environment. Students’ ability to direct themselves in learning and to utilise learning technologies can affect student learning effectiveness. This study examined the impacts of self-directed learning, technology readiness, and learning motivation on the three presences (social, teaching, cognitive) among students undertaking subjects in BL and non-BL (NBL) settings. The results indicated that the BL environment provides good facilitation for students’ social involvement in the class. Student technology readiness plays a stronger role in impacting the teaching presence in a BL environment than NBL environment. These findings imply that a proper BL setting creates a cohesive community and enhances collaborations between students. Prior training of learning technologies can potentially enhance students’ teaching presence."
88,Benefits and challenges with gamified multi-media physiotherapy case studies: a mixed method study,"Background The use of gamification in higher education context has become popular in recent years with one aim of enhancing learning motivation, yet, it is unknown how physiotherapy students perceive gamified education experience. Using gamification together with multi-media patient case studies, this study explored whether and how gamified education motivated physiotherapy students’ learning. It also investigated how other factors such as class design and mechanics affected gamified experience. Method Six case studies in the subject Neurological Physiotherapy were transformed from paper-based cases to multi-media cases built by iSpring suite 8.1. Simulated, real or animated clients were used. Gamification mechanics such as leaderboards, scoring and prioritisation were embedded in the case studies. These gamified case studies were used in classes with Year-3 students enrolled in this subject. After taking these classes, 10 students participated in two focus groups and 32 students responded to a survey to share their experiences and perceptions on this pedagogy. Results Results showed that students perceived gamified education as motivating since this satisfied their competence and social needs and enhanced their self-efficacy. In addition, authentic patient videos, class activities that allowed conflict resolution and reflection, and the use of leaderboards were enablers in this gamified experience. Conclusion Future gamified education in physiotherapy can provide authentic experience through class designs and gamification mechanics to foster learning motivation. A suggested mapping of gamified lessons for physiotherapy education is provided based on the results of this study."
89,Supporting self-regulated learning and personalization using ePortfolios: a semantic approach based on learning paths,"In the area of e-learning, there are new challenges to be overcome. One of them is to allow students self-regulation of their learning. Within this self-regulation process, students and teachers use technological tools to carry out their tasks. In general, these tools do not consider pedagogical aspects. Emerging approaches propose the use of electronic portfolios and semantic technologies to provide pedagogical characteristics that make tools more user-friendly for both teachers and students. This paper presents a conceptual model of an intelligent system to support self-regulated learning. This model is based on semantic technologies and uses the concepts of learning paths and student e-portfolios. For learning path generation, the system considers the different learning levels that a student should achieve and metrics that measure student progress. In this way, it proposes a learning path with the intention that the student achieves as highest learning level as possible."
90,Blended learning motivation model for instructors in higher education institutions,"Currently, blended learning (BL) is trending among higher education institutions (HEIs) around the globe. Despite its popularity, no model exists that describes the motivation that affects instructors’ opinions and beliefs regarding online learning. Therefore, the purpose of this study is to identify the factors responsible for motivating instructors at HEIs to integrate the BL approach into their courses. Two categories of motivational factors, namely, extrinsic and intrinsic, have been identified in the BL literature. These factors have been used to design a motivation model based on the cause-effect relationship between them. Survey data were collected from 362 HEI instructors in Turkey and North Cyprus for analysis using a structural equation modelling method. The results indicated that both extrinsic and intrinsic motivational factors have a significant impact on the instructors’ motivation to apply the BL approach. However, the extrinsic factor, i.e., “academic workload”, did not influence the instructors’ motivation. In general, the findings confirmed that, the consideration of both extrinsic and intrinsic factors for motivating the application of blended learning has a 79% impact on the adoption of BL. The findings of this study provide practical solutions for educational managers, curriculum designers and faculty members towards creating a cohesive BL environment in HEIs."
91,"Is Bigger, Better? Exploring U.S. News Graduate Education Program Rankings and Internet Characteristics","University ranking systems influence a wide range of educational stakeholders, including students, faculty members, and campus administrators. Of these ranking systems, the U.S. News & World Report ranking of colleges and universities has been the subject of much research. However, little research has examined specific U.S. News disciplinary rankings (such as graduate education) and whether Internet characteristics—such as the popularity of an institutional website—contributes to such a ranking. This study examines relationships between Internet characteristics, institutional characteristics, and the ranking of 69 of the top graduate education programs per U.S. News & World Report 2018 rankings. This examination sought to understand which U.S. News criteria best predicts ranking and whether Internet and institutional characteristics are better predictors of ranking. Regarding U.S. News ranking criteria, results suggest peer assessment best predicts graduate education program ranking. Regarding Internet and institutional characteristics, results suggest institutions with larger endowments ( p  = 0.01) and smaller websites ( p  = 0.05) enjoy better rankings. Considering all U.S. News criteria alongside Internet and institutional characteristics, doctoral admission rates ( t  = 3.30, p  = 0.00) and funded research per faculty member ( t  = − 4.89, p  = 0.00) best predict ranking, but the size ( t  = 2.61, p  = 0.01) and popularity ( t  = − 2.88, p  = 0.00) of an institution’s website also strongly predicts ranking. Implications for theory and future research are addressed."
92,Persuasive technology for enhanced learning behavior in higher education,"Obtaining quality learning behavior requires constant improvement. The development of learning methods often unsupported changes in the behavior of participants. This condition causes reluctance to use new learning methods by some users. Meanwhile, technological developments, especially Web 2.0, have the ability to change the way people communicate and interact. This study used the features and capabilities of Web 2.0 to improve learning behavior. The use of this technology will be adjusted with learning methods, especially online-learning that overgrows nowadays. The concept of an integrated system applied a persuasive strategy to bring persuasion. Modifications e-learning were done by combining the concepts of Web 2.0 and persuasive system. Tests were performed on aspects that affect the user’s intentions by comparing the initial and final conditions after the intervention. The behavior changes were expected to improve user involvement and intention in online learning. The results show that the modified technology by using persuasive concept can improve the users’ intention."
93,An empirical investigation of the antecedents of learner-centered outcome measures in MOOCs,"This research revealed the antecedes of two learner-centered outcome measures of success in massive open online courses (MOOCs): learner satisfaction and learner intention-fulfillment. Previous studies used success criteria from formal education contexts placing retention and completion rates as the ultimate outcome measures. We argue that the suggested learner-centered outcomes are more appropriate for measuring success in non-formal lifelong learning settings because they are focused on the learner’s intentions, rather than the intentions of the course developer. The behavioural measures of 125 MOOC participants who answered a pre- and a post-questionnaire were harvested. The analysis revealed that learner satisfaction was directly affected by: the importance of the MOOC’s benefits; online self-regulated learning - goal setting; number of video lectures accessed; and, perceived course usability. Age and the number of quizzes accessed indirectly effected learner satisfaction, through perceived course usability and through number of video lectures accessed. Intention-fulfillment was directly affected by: gender; the importance of the MOOC’s benefits; online self-regulated learning - goal setting; the number of quizzes accessed; the duration of participation; and, perceived course usability. Previous experience with MOOCs and the importance of MOOC’s benefits, indirectly affected intention-fulfillment through the number of quizzes accessed and perceived course usability."
94,Beyond social chit chat? Analysing the social practice of a mobile messaging service on a higher education teacher development course,"Mobile technology has become for many an essential aspect of everyday life. It has transformed how people interact and is widely adopted by social networks to facilitate communication, support engagement and build collaboration. With reference to Shove et al., (The dynamics of social practice: Everyday life and how it changes, 2012) three element social practice model and Wenger (Communities of Practice: learning, meaning and identity, 1998) community of practice framework, this “insider” research study analyses the norms, behaviours and attitudes of users of a mobile messaging service over a two-year higher education teacher training programme. It also examines the socio-technical interaction between the trainee teachers and the relationship between the mobile messaging application and other communicative practices.. Overall, the findings from this research study suggest that although the concept of a community of practice is problematic, the WhatsApp practice positively shaped the experiences of the trainee teachers on their programme."
95,"Design and investigation of cooperative, scaffolded wiki learning activities in an online graduate-level course","Informed by the literature on community of inquiry, wikis in education, and scaffolding in technology-supported learning environments, this study reports the design, implementation, and investigation of wiki-supported cooperative learning activities in an online graduate-level theories class. The investigation of emerging research questions revealed students’ participation patterns in the wiki learning activities, the relationship between their participation and course performance, and the students’ experiences with the scaffolding strategies designed to support their cooperative activities. The study offers implications for designing and scaffolding wiki-based cooperative learning."
96,"Difficulties in defining mobile learning: analysis, design characteristics, and implications","Mobile learning , or m - learning , has become an umbrella term for the integration of mobile computing devices within teaching and learning. In the literature, however, use of the terms has been unsystematic. The purpose of this article is to critically examine the principles of mobile learning. First, I examine the extant literature with regard to defining mobile learning. Four definitions of mobile learning categories are described: (1) relationship to distance education and elearning, (2) exploitation of devices and technologies, (3) mediation with technology, and (4) nomadic nature of learner and learning. Second, in an effort to provide a basis on which to ground future mobile learning research, I propose a framework of design characteristics for mobile learning environments. Seven design characteristics are identified and discussed. Finally, I present implications for future research and instructional design. This paper contributes to the field of mobile learning by providing researchers more precise ways to identify and describe the characteristics of mobile learning environments, as well as describe the attributes of successful mobile learners."
97,Networked Learning and Postdigital Education,"This paper considers the positon of networked learning in higher education learning and teaching in the postdigital era. The underlying origins and principles upon which networked learning are based can be traced back to the critical pedagogy of Freire and emphasise a critical relationship with the digital, the human and the current socio-political and material higher educational context. We examine the theoretical and practical ideas around networked learning in which connections are forged between learners; between learners and their tutors; and between learning communities and learning resources. We describe two case studies to illustrate the theory, pedagogy and practice of networked learning for contemporary higher education learning and teaching. One from the perspective of the online distant learner and their experience of networked learning; the other from the perspective of tutors, which focuses on the challenges they face in moving into the digital world. We conclude by claiming that the way networked learning has developed in theory and practice means it is an approach and pedagogy that makes it entirely suitable for a postdigital world."
98,Integration of good practices of active methodologies with the reuse of student-generated content,"In this article, we present an integrated instructive methodological approach. We begin with a set of proposals for educational innovation oriented towards active learning that have been tested separately and implemented for various subjects in courses of different levels. The approach integrates the following elements: (1) the dynamic generation of digital content by students and their integration into shared knowledge bases of the subjects involved; (2) the systematic use of quality content, mainly in video format, distributed through online platforms as support for flipped classrooms; (3) peer evaluation to support the development of reflective and self-critical capacities; and (4) systematic collaboration with students and professors from other universities to develop the enumerated activities. The methodology has been tested in a variety of subjects, thanks to its flexibility. In all experienced cases, it has been shown that it is feasible for students to generate enough valuable and reusable content. In addition, students have expressed high levels of satisfaction with the implementation of the proposal."
99,What foresees college students’ tendency to use facebook for diverse educational purposes?,"The present study investigates some factors affecting college students’ tendency to use Facebook for different educational purposes. We reached 120 participants who were college students. Our sample comprised of 63 (52.5%) females and 57 (47.5%) males. We applied convenience sampling technique and an online questionnaire to collect data. Descriptive statistics, multiple regression analysis, and Structural Equation Modelling using IBM SPSS AMOS were utilized. The findings provide that GPA, Personal Use of Facebook for Studying and Socialization, Autonomy Psychological Need, and Academic Procrastination foresee college students’ willingness to use Facebook in their courses. GPA and Personal Use of Facebook for studying are the most influential factors while Autonomy Psychological Need is the least impactful. We also examined the impact of these factors on different educational use types of Facebook: communication, collaboration, resources and material sharing. The results are discussed, and further recommendations for future research and implications are presented in the current study."
